Energy(eV)	cross section (m-2)					
	(1) E + AR > E + AR	(2)  E + AR > AR* + E	(3) E + AR > AR* + E	(4) E + AR > AR^ + E + E	(5) E + AR* > AR^ + E + E	(6)  E + AR* > AR + E
9.900000E-04	9.455510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.185970E-21
1.000000E-03	9.450010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.173060E-21
1.010000E-03	9.444510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.160020E-21
1.020000E-03	9.439010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.147370E-21
1.030000E-03	9.433510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.134580E-21
1.040000E-03	9.428010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.122190E-21
1.050000E-03	9.422510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.109640E-21
1.060000E-03	9.417010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.097220E-21
1.070000E-03	9.411510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.085190E-21
1.080000E-03	9.406010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.073000E-21
1.090000E-03	9.400510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.061200E-21
1.100000E-03	9.395010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.049240E-21
1.110000E-03	9.389510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.037660E-21
1.120000E-03	9.384010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.025930E-21
1.130000E-03	9.378510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.014570E-21
1.140000E-03	9.373010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.003060E-21
1.150000E-03	9.367510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.991910E-21
1.160000E-03	9.362010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.980600E-21
1.170000E-03	9.356510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.969660E-21
1.180000E-03	9.351010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.958570E-21
1.190000E-03	9.345510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.947820E-21
1.200000E-03	9.340010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.936930E-21
1.210000E-03	9.334510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.926380E-21
1.220000E-03	9.329010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.915680E-21
1.230000E-03	9.323510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.905320E-21
1.240000E-03	9.318010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.894810E-21
1.250000E-03	9.312510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.884640E-21
1.260000E-03	9.307010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.874310E-21
1.270000E-03	9.301510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.864320E-21
1.280000E-03	9.296010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.854170E-21
1.290000E-03	9.290510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.844350E-21
1.300000E-03	9.285010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.834380E-21
1.310000E-03	9.279510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.824730E-21
1.320000E-03	9.274010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.814930E-21
1.330000E-03	9.268510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.805450E-21
1.340000E-03	9.263010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.795810E-21
1.350000E-03	9.257510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.786490E-21
1.360000E-03	9.252010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.777020E-21
